,Time,Programme,ML,IR,Stat,DB,Gender,Chocolate,Birthday,Neighbours,Stand up,Stress,Self esteem,RN,Bedtime,GD1,GD2,GD1-NLTK,GD1-FLAIR,GD2-NLTK,GD2-FLAIR,Bedtime_Hour_c,Stress_c,Self esteem_c,Programme_c,Neighbors_c,Birthday_c,Birthdate_dm_c,Age,RN_c
0,3/16/2021 14:37:20,Master Tax Law - Tax and Technology,yes,0,mu,ja,male,neither,july 6,2,no,85,50,8,22.15,Having completed a set task.,Happy people,0.0,0.995,0.5719,0.99,22,85,50.0,other,2,,6-7,0,8
1,3/24/2021 17:28:48,AI,no,0,sigma,nee,male,I have no idea what you are talking about,December 7,0,no,0,100,3,10,Coffee,Sun,0.0,0.894,0.0,0.99,22,0,100.0,AI,0,,7-12,0,3
2,3/25/2021 12:31:29,DMT,no,0,mu,nee,male,fat,23 September 1997,4,no,40,5,33,00:00,Be Happy,Having a very productive day,0.5719,0.989,0.0,0.995,0,40,5.0,other,4,23-9-1997,23-9,24,10
3,3/25/2021 15:56:30,CS,no,1,mu,ja,male,I have no idea what you are talking about,30-07-1999,,no,42,5,2147483648,?,If you give me a 10,If you give my team a 10,0.0,0.832,0.0,0.882,23,42,5.0,CS,0,30-7-1999,30-7,22,10
4,3/25/2021 17:41:04,AI,yes,0,mu,ja,female,neither,08.03.1998,1,no,20,50,4,2,nice weather,having good food,0.4215,0.973,0.4404,0.989,2,20,50.0,AI,1,3-8-1998,3-8,23,4
5,3/26/2021 11:31:46,system security,no,1,sigma,ja,male,neither,13/1/95,0,no,20,30,5,??,weather,free day,0.0,0.537,0.5106,0.882,23,20,30.0,other,0,13-1-1995,13-1,26,5
6,3/26/2021 13:59:32,Quantitative Risk Management,yes,0,mu,nee,male,fat,28-07-1997,0,no,20,0,34612,1:30,Classical music,Data mining :-P,0.0,1.0,0.4995,0.93,1,20,0.0,QRM,0,28-7-1997,28-7,24,10
7,3/26/2021 14:30:47,Computational Science,no,0,sigma,nee,male,neither,"November 14, 1993",0,no,20,About 20 cents,7,12 a.m.,Making progress in a tough course,"Watching the game, smoking some bud",0.3182,0.71,0.0,0.996,24,20,0.0,CLS,0,14-11-1993,14-11,28,7
8,3/26/2021 15:31:08,AI,no,0,mu,ja,male,neither,08-02-1997,0,no,99,1,6,01:45,Drum,Bass,0.0,0.985,0.0,0.991,1,99,1.0,AI,0,2-8-1997,2-8,24,6
9,3/26/2021 22:29:30,AI,no,0,mu,ja,male,neither,30-12,1,no,50,2,4,1am,Meeting a friend,Being productive,0.4939,0.998,0.0,0.99,1,50,2.0,AI,1,,30-12,0,4
10,3/26/2021 23:46:34,Computational Science,no,0,mu,nee,male,fat,06-05,2,no,90,30,7,1am,Good coffe,Get motivated,0.4404,0.982,0.4588,0.955,1,90,30.0,CLS,2,,5-6,0,7
11,3/27/2021 16:02:34,AI,yes,0,mu,nee,male,fat,15-04-1998,3,no,60,5,7,01:00,Start studying early,Finishing everything that I proposed for that day,0.0,0.973,0.0,0.989,1,60,5.0,AI,3,15-4-1998,15-4,23,7
12,3/27/2021 19:31:57,big data engineering ,no,1,mu,nee,male,neither,02-07-1977,4,unknown,75,500,7,12:00 PM,feel of achievement ,"go out, talk to people ",0.0,0.998,0.0,-0.955,24,75,100.0,DS,4,7-2-1977,7-2,44,7
13,3/27/2021 20:59:51,MSc in Bioinformatics and Systems Biology,yes,0,mu,nee,female,neither,11/07/1997,0,no,50,10 euro,7,02:00 a.m.,relaxing and chill schedule,nice weather,0.4939,0.998,0.4215,0.973,2,50,10.0,BI,0,7-11-1997,7-11,24,7
14,3/27/2021 21:19:34,Human Language Technology,yes,0,mu,nee,female,neither,07-04-1998,2,no,20,5,23,2 am,sunny wheather outside,coronavirus restrictions lifted,0.4215,0.997,0.0,-0.616,2,20,5.0,HLT,2,4-7-1998,4-7,23,10
15,3/28/2021 10:27:38,Artificial Intelligence,yes,0,mu,ja,female,fat,30-07-1997,0,no,10,10 cents,7,23:10,Socialize a bit,Tidy environment,0.0,0.896,0.0,0.991,23,10,0.0,AI,0,30-7-1997,30-7,24,7
16,3/28/2021 10:58:31,computational science,no,0,mu,nee,female,fat,April,0,yes,0,50,8,00:45,get up,food,0.0,0.7,0.0,1.0,0,0,50.0,CLS,0,,,0,8
17,3/28/2021 11:22:44,MSc Artificial Intelligence,no,0,mu,nee,female,neither,3-9-1966,0,no,70,5,7,11 pm,nice weather,surprising things happen,0.4215,0.973,0.2732,0.998,23,70,5.0,AI,0,9-3-1966,9-3,55,7
18,3/28/2021 12:40:57,QRM,yes,0,mu,ja,male,slim,13-08,0,yes,77,2.5,7,5,Food,Beer,0.0,1.0,0.0,0.939,5,77,2.5,QRM,0,,13-8,0,7
19,3/28/2021 20:21:27,Master Business Analytics,yes,1,mu,ja,male,slim,06-01-1998,0,no,10,10,14,23:30,No stress,Doing sports,-0.6124,0.998,0.0,0.993,23,10,10.0,BA,0,1-6-1998,1-6,23,10
20,3/28/2021 21:38:59,Msc Artificial Intelligence,yes,unknown,mu,nee,female,neither,04-08-1995,0,no,40,12,4,13:00,food,sleep,0.0,1.0,0.0,-0.989,13,40,12.0,AI,0,8-4-1995,8-4,26,4
21,3/28/2021 23:23:22,Computational Science,no,0,mu,ja,male,slim,1996-07-31,5,no,7,8,94678309602975980,huh?,Sleeping to a good movie,Food,0.4404,0.515,0.0,1.0,23,7,8.0,CLS,5,31-7-1996,31-7,25,10
22,3/29/2021 0:12:18,cs,no,0,mu,ja,male,fat,1 / 9/ 2020,10,yes,93,93,10,10,happy,very happy,0.5719,0.984,0.6115,0.993,22,93,93.0,CS,10,9-1-2020,9-1,1,10
23,3/29/2021 6:09:27,Computational Science,no,0,mu,nee,male,fat,11-11-1995,0,no,100,0,2,23,Good sleep,Good food,0.4404,0.907,0.4404,0.993,23,100,0.0,CLS,0,11-11-1995,11-11,26,2
24,3/29/2021 6:39:25,CS,yes,0,mu,ja,female,fat,10-29-1997,0,no,50,30,14,01:23,Everything is under control.,Delicious food.,0.0,0.994,0.5719,0.999,1,50,30.0,CS,0,29-10-1997,29-10,24,10
25,3/29/2021 8:32:53,AI Masters,yes,0,mu,ja,male,slim,01-12-1998,1,no,-2,0,3,23,Sun,Good weather,0.0,0.99,0.4404,0.958,23,100,0.0,AI,1,12-1-1998,12-1,23,3
